ID,Title,Animation,Comedy,Drama,Adventure,Mistery,Fiction,Thriller,Musical
134,Jose Canseco,0,0,0,0,0,0,0,0
135,Buster Douglas,0,0,0,0,1,0,0,0
136,James Maslow,0,0,1,1,1,0,0,0
137,Edi Gathegi,0,0,1,1,1,0,0,0
138,Roger Clemens,0,0,0,0,0,0,1,0
139,Nene Leakes,0,1,0,0,0,0,0,0
140,Melissa Joan Hart,0,0,1,1,0,0,1,0
141,Marcus Lemonis,0,1,0,0,1,0,0,0
142,Dee Snider,0,0,0,0,1,0,0,0
143,Skeet Ulrich,0,0,1,1,0,0,0,0
144,Eddie Griffin,0,0,1,1,0,0,1,0
145,Kat Graham,0,0,1,1,1,0,0,0
146,Corinne Olympios,0,1,0,0,0,0,0,0
147,Chuck Liddell,0,0,0,0,0,0,1,1
148,Shangela,0,1,0,0,1,0,0,0
149,Joe Mixon,0,0,0,0,1,0,0,0
150,Cody Ko,0,0,0,0,1,1,0,0
151,Shannon Ford,0,1,0,0,0,0,0,0
152,Cynthia Bailey,0,1,0,0,0,0,0,0
153,Peter Facinelli,0,0,1,1,0,0,0,0
154,Caitlyn Jenner,0,1,0,0,0,0,1,0
155,Tom Felton,0,0,1,1,0,0,1,0
156,Robert Hoffman,0,0,1,1,0,0,0,0
157,Darius Dobre,0,0,0,0,0,0,0,0
158,Bella Thorne,0,0,1,1,1,0,1,0
159,Spencer Pratt,0,1,0,0,0,0,0,0
160,Vic Mensa,0,0,0,0,1,0,0,0
161,Emma Chamberlain,0,0,0,0,1,0,0,0
162,Tom Sizemore,0,0,1,1,0,0,0,0
163,John Gabbana aka Boonk,0,0,0,0,1,0,0,0
164,Barbara Corcoran,0,1,0,0,0,0,0,0
165,Rook,0,0,0,0,0,0,0,0
166,Billy Zane,0,0,1,1,0,0,0,0
167,â€œFoodgodâ€ Jonathan Cheban,0,1,0,0,1,0,0,0
168,Gary Payton,0,0,0,0,0,0,1,0
169,Aaron Carter,0,0,0,0,0,0,0,0
170,"Nicole ""Snooki"" Polizzi",0,1,0,0,0,0,0,0
171,Matt Hasselbeck,0,0,0,0,1,0,0,0
172,Amber Portwood,0,1,0,0,0,0,0,0
173,Nicole Williams English,0,1,0,0,0,0,0,0
174,Brandon Marshall,0,0,0,0,0,0,0,0
175,Wesley Snipes,0,0,1,1,0,0,1,0
176,Melvin Gordon,0,0,0,0,0,0,1,0
177,Lamar Jackson,0,0,0,0,0,0,0,0
178,Robert Davi,0,0,1,1,0,0,0,0
179,Nikki Blonsky,0,0,1,1,0,0,0,0
180,Michael Rapaport,0,0,1,1,1,0,0,0
181,Stephen Kramer Glickman,0,0,1,1,0,0,0,0
182,Drew Seeley,0,0,1,1,0,0,0,0
183,Wesley Taylor,0,0,1,1,1,0,0,0
184,Larry Wilcox,0,0,1,1,1,0,0,0
185,Bart Johnson,0,0,1,1,1,0,0,0
186,David Sutcliffe,0,0,1,1,1,0,0,0
187,Fortune Feimster,0,0,1,1,1,0,0,0
188,Danica McKellar,0,0,1,1,1,0,0,0
189,Robert R. Shafer,0,0,1,1,1,0,0,0
190,Great Khali,0,0,1,1,1,0,0,0
191,Laura Osnes,0,0,1,1,1,0,0,0
192,Jesse Meester,0,0,1,1,1,0,0,0
193,David Henrie,0,0,1,1,1,0,0,0
194,Marla Maples,0,0,1,1,1,0,0,0
195,Chris Rankin,0,0,1,1,1,0,0,0
196,Anneliese van der Pol,0,0,1,1,1,0,0,0
197,Greg Sestero,0,0,1,1,1,0,0,0
198,Corey Cott,0,0,1,1,1,0,0,0
199,James Payton,0,0,1,1,1,0,0,0
200,Daniel Goddard,0,0,1,1,1,0,0,0
201,Stuttering John Melendez,0,0,1,1,1,0,0,0
202,Dot Marie Jones,0,0,1,1,1,0,0,0
203,Garrett Clayton,0,0,1,1,1,0,0,0
204,Bryton James,0,0,1,1,1,0,0,0
205,Robyn Lively,0,0,1,1,1,0,0,0
206,Tom Arnold,0,0,1,1,1,0,0,0
207,Phil LaMarr,0,0,1,1,1,0,0,0
208,Dylan â€œSwoggleâ€ Postl,0,0,1,1,1,0,0,0
209,Britney Haynes,0,1,1,1,1,0,0,0
210,Ronn Moss,0,0,1,1,1,0,0,0
211,Susan Bennett,0,0,1,1,1,0,0,0
212,Jai Rodriguez,0,1,1,1,1,0,0,0
213,Blake Michael,0,0,1,1,1,0,0,0
214,Paul Johansson,0,0,1,1,1,0,0,0
215,Ned Luke,0,0,1,1,1,0,0,0
216,Jesse Metcalfe,0,0,1,1,1,0,0,0
217,Alexander Vlahos,0,0,1,1,1,0,0,0
218,Ryan Oâ€™Flanagan,0,0,1,1,1,0,0,0
219,Adam Croasdell,0,0,1,1,1,0,0,0
220,Mindy Cohn,0,0,1,1,1,0,0,0
221,Michael Biehn,0,0,1,1,1,0,0,0
222,Chad L Coleman,0,0,1,1,1,0,0,0
223,Michael Campion,0,0,1,1,1,0,0,0
224,David Alpay,0,0,1,1,1,0,0,0
225,Chad Lindberg,0,0,1,1,1,0,0,0
226,Antonio MillÃ³n,0,1,1,1,1,0,0,0
227,Gabrielle Ruiz,0,0,1,1,1,0,0,0
228,John Kassir-Crypt Keeper,0,0,1,1,1,0,0,0
229,Mara Marini,0,0,1,1,1,0,0,0
230,Domenick Nati,0,0,1,1,1,0,0,0
231,Vladimir Furdik,0,0,1,1,1,0,0,0
232,Carl Radke,0,1,1,1,1,0,0,0
233,Adam Barta,0,0,1,1,1,0,0,0
234,Jess Walton,0,0,1,1,1,0,0,0
235,Tanner Zipchen,0,0,1,1,1,0,0,0
236,Doug Cockle,0,0,1,1,1,0,0,0
237,Ian Bohen,0,0,1,1,1,0,0,0
238,Bai Ling,0,0,1,1,1,0,0,0
239,Adelaide Kane,0,0,1,1,1,0,0,0
240,Juliet Simms,0,1,1,1,1,0,0,0
241,Shawn Pyfrom,0,0,1,1,1,0,0,0
242,Erik Stolhanske,0,0,1,1,1,0,0,0
243,Tyler Labine,0,0,1,1,1,0,0,0
244,Aries Spears,0,0,1,1,1,0,0,0
245,Jonathan Lipnicki,0,0,1,1,1,0,0,0
246,Lukas Gage,0,0,1,1,1,0,0,0
247,KayCee Stroh,0,0,1,1,1,0,0,0
248,Robert Maschio,0,0,1,1,1,0,0,0
249,Gianna Yanelli,0,0,1,1,1,0,0,0
250,Lexi Lawson,0,0,1,1,1,0,0,0
251,Samantha Barks,0,0,1,1,1,0,0,0
252,Constantine Maroulis,0,0,1,1,1,0,0,0
253,Sinbad,0,0,1,1,1,0,0,0
254,Josh Sussman,0,0,1,1,1,0,0,0
255,The Unknown Comic,0,0,1,1,1,0,0,0
256,Joe Pantoliano,0,0,1,1,1,0,0,0
257,Hynden Walch,0,0,1,1,1,0,0,0
258,Elle McLemore,0,0,1,1,1,0,0,0
259,Brendan Robinson,0,0,1,1,1,0,0,0
260,Chase Coleman,0,0,1,1,1,0,0,0
261,Sean Biggerstaff,0,0,1,1,1,0,0,0
262,Carrie St. Louis,0,0,1,1,1,0,0,0
263,Harrison Houde,0,0,1,1,1,0,0,0
264,Josh Canfield,0,1,1,1,1,0,0,0
265,Catherine Sutherland,0,0,1,1,1,0,0,0
266,Mike Eruzione from MIRACLE,0,0,1,1,1,0,0,0
267,Ryan McCartan,0,0,1,1,1,0,0,0
268,Gary Wales,0,0,1,1,1,0,0,0
269,Nick Adams,0,0,1,1,1,0,0,0
270,Michael Turchin,0,0,1,1,1,0,0,0
271,Miltos Yerolemou,0,0,1,1,1,0,0,0
272,Andrea Brooks,0,0,1,1,1,0,0,0
273,Olivia Applegate,0,0,1,1,1,0,0,0
274,Conroe Brooks,0,0,1,1,1,0,0,0
275,Lochlyn Munro,0,0,1,1,1,0,0,0
276,Jon Campling,0,0,1,1,1,0,0,0
277,Jeff Dye,0,0,1,1,1,0,0,0
278,Martin Klebba,0,0,1,1,1,0,0,0
279,Jane Sibbett,0,0,1,1,1,0,0,0
280,Kolton Stewart,0,0,1,1,1,0,0,0
281,Christine Barger,0,0,1,1,1,0,0,0
282,Galen Gering,0,0,1,1,1,0,0,0
283,Molly Rushing,0,0,1,1,1,0,0,0
284,Sherilyn Fenn,0,0,1,1,1,0,0,0
285,Bethany Brown,0,0,1,1,1,0,0,0
286,Adrian R'Mante,0,0,1,1,1,0,0,0
287,Dominique Jackson,0,0,1,1,1,0,0,0
288,Hayley Podschun,0,0,1,1,1,0,0,0
289,Natasha Henstridge,0,0,1,1,1,0,0,0
290,Tiffany Alvord,0,0,1,1,1,0,0,0
291,Peter Luis Zimmerman,0,0,1,1,1,0,0,0
292,Paul Greene,0,0,1,1,1,0,0,0
293,Andrew Chappelle,0,0,1,1,1,0,0,0
294,Elias Toufexis,0,0,1,1,1,0,0,0
295,Sarati,0,0,1,1,1,0,0,0
296,Deborah Foreman,0,0,1,1,1,0,0,0
297,Jayson Warner Smith,0,0,1,1,1,0,0,0
298,Steve Cardenas,0,0,1,1,1,0,0,0
299,Joey Russo,0,0,1,1,1,0,0,0
300,Sean Kanan,0,0,1,1,1,0,0,0
301,Shane Kippel,0,0,1,1,1,0,0,0
302,Marilyn Ghigliotti (Clerks),0,0,1,1,1,0,0,0
303,Lew Temple,0,0,1,1,1,0,0,0
304,Stephanie Barkley,0,0,1,1,1,1,0,0
305,Dascha Polanco,0,0,1,1,1,0,0,0
306,Timothy Wilson,0,0,1,1,1,0,0,0
307,Kevin L. Johnson,0,0,1,1,1,0,0,0
308,Keith Coogan,0,0,1,1,1,0,0,0
309,Miriam McDonald,0,0,1,1,1,0,0,0
310,Jacob Young,0,0,1,1,1,0,0,0
311,Jeff Sneider,0,0,1,1,1,0,0,0
312,Kelsey Leon,0,0,1,1,1,0,0,0
313,Josh Mikel,0,0,1,1,1,0,0,0
314,Jennifer Stone,0,0,1,1,1,0,0,0
315,Agnes Bruckner,0,0,1,1,1,0,0,0
316,Ryan Steele,0,0,1,1,1,0,0,0
317,Tahmoh Penikett,0,0,1,1,1,0,0,0
318,Colin Egglesfield,0,0,1,1,1,0,0,0
319,Leo Howard,0,0,1,1,1,0,0,0
320,Scout Compton,0,0,1,1,1,0,0,0
321,Jon Taffer,0,0,1,1,1,0,0,0
322,Duncan James,0,0,1,1,1,0,0,0
323,Tyler Mizak,0,0,1,1,1,0,0,0
324,John Basedow,0,0,1,1,1,1,0,0
325,Tom Myers,0,0,1,1,1,0,0,0
326,Alex Hook,0,0,1,1,1,0,0,0
327,Jillian Rose Reed,0,0,1,1,1,0,0,0
328,Sean Grandillo,0,0,1,1,1,0,0,0
329,Mary Lynn Rajskub,0,0,1,1,1,0,0,0
330,Anjelah Johnson,0,0,1,1,1,0,0,0
331,Wes Johnson,0,0,1,1,1,0,0,0
332,Malcolm D Kelley,0,0,1,1,1,0,0,0
333,Yanic Truesdale,0,0,1,1,1,0,0,0
334,Ryan Merriman,0,0,1,1,1,0,0,0
335,Brant Daugherty,0,0,1,1,1,0,0,0
336,Jennifer Blanc -Biehn,0,0,1,1,1,0,0,0
337,Liliana Mumy,0,0,1,1,1,0,0,0
338,Lindsley Register,0,0,1,1,1,0,0,0
339,Greg Cipes,0,0,1,1,1,0,0,0
340,Elisa Donovan,0,0,1,1,1,0,0,0
341,Joe Gnoffo,0,1,1,1,1,0,0,0
342,Rachel Skarsten,0,0,1,1,1,0,0,0
343,Alex Newell,0,0,1,1,1,0,0,0
344,Lenne Klingaman,0,0,1,1,1,0,0,0
345,Rose Abdoo,0,0,1,1,1,0,0,0
346,Daniel Franzese,0,0,1,1,1,0,0,0
347,Hailey Reese,0,0,1,1,1,0,0,0
348,Amber Riley,0,0,1,1,1,0,0,0
349,Ike Catcher,0,0,1,1,1,0,0,0
350,Caitlin Dechelle,0,0,1,1,1,0,0,0
351,Georgia Hirst,0,0,1,1,1,0,0,0
352,Josh Fadem,0,0,1,1,1,0,0,0
353,Lucie Pohl,0,0,1,1,1,0,0,0
354,Scott Butler,0,0,1,1,1,0,0,0
355,Marla Sokoloff,0,0,1,1,1,0,0,0
356,Kevin McDonald,0,0,1,1,1,0,0,0
357,Devin Devasquez,0,0,1,1,1,0,0,0
358,J HOLIDAY,0,0,1,1,1,0,0,0
359,Joshua Colley,0,0,1,1,1,0,0,0
360,David Yost,0,0,1,1,1,0,0,0
361,Rachel Paulson,0,0,1,1,1,0,0,0
362,Michael May,0,0,1,1,1,0,0,0
363,Jason Faunt,0,0,1,1,1,0,0,0
364,Mandy Rain,0,0,1,1,1,0,0,0
365,Lauren Molina,0,0,1,1,1,0,0,0
366,Philip Michael,0,0,1,1,1,0,0,0
367,Jackie Dallas,0,0,1,1,1,0,0,0
368,Sarah Colonna,0,0,1,1,1,0,0,0
369,Brandy Ledford,0,0,1,1,1,0,0,0
370,Elijah Boothe,0,0,1,1,1,0,0,0
371,Brian Thomas Smith,0,0,1,1,1,0,0,0
372,Kate Linder,0,0,1,1,1,0,0,0
373,Jen Morrison,0,0,1,1,1,0,0,0
374,Ian Whyte,0,0,1,1,1,0,0,0
375,EG Daily,0,0,1,1,1,0,0,0
376,Jessica Keenan Wynn,0,0,1,1,1,0,0,0
377,Carrie Stevens,0,0,1,1,1,0,0,0
378,Chris Chalk,0,0,1,1,1,0,0,0
379,Brendan Fehr,0,0,1,1,1,0,0,0
380,Stephen Hunter,0,0,1,1,1,0,0,0
381,Varla Jean Merman,0,0,1,1,1,0,0,0
382,Thomas Redgrave,0,0,1,1,1,0,0,0
383,Usman Ally,0,0,1,1,1,0,0,0
384,Grizz Chapman,0,0,1,1,1,0,0,0
385,Joshua Morgan,0,0,1,1,1,0,0,0
386,Jack DiFalco,0,0,1,1,1,0,0,0
387,Michele Selene Ang,0,0,1,1,1,0,0,0
388,D.B. Sweeney,0,0,1,1,1,0,0,0
389,Mariana Klaveno,0,0,1,1,1,0,0,0
390,Thomas Canestraro,0,0,1,1,1,0,0,0
391,Ryann Redmond,0,0,1,1,1,0,0,0
392,Lawrence H Robinson,0,0,1,1,1,0,0,0
393,Tyler Mane,0,0,1,1,1,0,0,0
394,Robin Shelby,0,0,1,1,1,0,0,0
395,Kristen StephensonPino,0,0,1,1,1,0,0,0
396,Lilli Cooper,0,0,1,1,1,0,0,0
397,Arielle Jacobs,0,0,1,1,1,0,0,0
398,Kamilah,0,0,1,1,1,0,0,0
399,Casey Burke,0,0,1,1,1,0,0,0
400,Robert Palmer Watkins,0,0,1,1,1,0,0,0
401,Gina Neely,0,1,1,1,1,0,0,0
402,Sara Thompson,0,0,1,1,1,0,0,0
403,David Lascher,0,0,1,1,1,0,0,0
404,Devon Hadsell,0,0,1,1,1,0,0,0
405,Kerry Butler,0,0,1,1,1,0,0,0
406,Tami Roman,0,0,1,1,1,0,0,0
407,Kamran Lucas,0,0,1,1,1,0,0,0
408,Matthew Stephen Smith,0,0,1,1,1,0,0,0
409,Thomas Ian Nicholas,0,0,1,1,1,0,0,0
410,Jesus Payan Jr.,0,0,1,1,1,0,0,0
411,Gaby Dunn,0,0,1,1,1,0,0,0
412,George Poulos,0,0,1,1,1,0,0,0
413,Becca Brown,0,0,1,1,1,0,0,0
414,NoÃ«l Elie,0,0,1,1,1,0,0,0
415,Shelby Young,0,0,1,1,1,0,0,0
416,Caitlin Houlahan,0,0,1,1,1,0,0,0
417,Pia Toscano,0,0,1,1,1,0,0,0
418,Nate Richert,0,0,1,1,1,0,0,0
419,Heather Matarazzo,0,0,1,1,1,0,0,0
420,Michael Dameski,0,0,1,1,1,0,0,0
421,Darren Carter,0,0,1,1,1,0,0,0
422,Rebecca Dalton,0,0,1,1,1,0,0,0
423,Naomi Grossman,0,0,1,1,1,0,0,0
424,Jewel Staite,0,0,1,1,1,0,0,0
425,Jack Maxwell,0,0,1,1,1,0,0,0
426,Patrick Garr,0,0,1,1,1,0,0,0
427,Kiowa Gordon,0,0,1,1,1,0,0,0
428,Monique Coleman,0,0,1,1,1,0,0,0
429,Dyvon,0,0,1,1,1,0,0,0
430,Hilary Shepard,0,0,1,1,1,0,0,0
431,Jana Kramer,0,0,1,1,1,0,0,0
432,Carolyn Hennesy,0,0,1,1,1,0,0,0
433,Joanna Cassidy,0,0,1,1,1,0,0,0
434,Kyle Lowder,0,0,1,1,1,0,0,0
435,Nick Gomez,0,0,1,1,1,0,0,0
436,Paul Danan,0,0,1,1,1,0,0,0
437,J.None,0,0,1,1,1,0,0,0
438,Christian Lees,0,0,1,1,1,0,0,0
439,Jake Kearney,0,0,1,1,1,0,0,0
440,Peter Kelamis,0,0,1,1,1,0,0,0
441,Taylor Foster,0,0,1,1,1,0,0,0
442,Kevin R McNally,0,0,1,1,1,0,0,0
443,Myrka Dellanos,0,0,1,1,1,0,0,0
444,Damon J. Gillespie,0,0,1,1,1,0,0,0
445,Khary Payton,0,0,1,1,1,0,0,0
446,Olivia Ryan Stern,0,0,1,1,1,0,0,0
447,Heather McComb,0,0,1,1,1,0,0,0
448,Peter Macon,0,0,1,1,1,0,0,0
449,Lindsey McKeon,0,0,1,1,1,0,0,0
450,Justin Melnick,0,0,1,1,1,0,0,0
451,Joey Lawrence,0,0,1,1,1,0,0,0
452,Haviland Stillwell,0,0,1,1,1,0,0,0
453,Justin Lee,0,0,1,1,1,0,0,0
454,Garrett Wang,0,0,1,1,1,0,0,0
455,Courtney Hope,0,0,1,1,1,0,0,0
456,Aaron Gocs,0,0,1,1,1,0,0,0
457,Dylan Playfair,0,0,1,1,1,0,0,0
458,Omar Gooding,0,0,1,1,1,0,0,0
459,Olesya Rulin,0,0,1,1,1,0,0,0
460,Erich Schuett,0,0,1,1,1,0,0,0
461,Amber Nichole Miller,0,0,1,1,1,0,0,0
462,Christa B. Allen,0,0,1,1,1,0,0,0
463,Mercedes Beaute,0,0,1,1,1,0,0,0
464,Craig Robert Young,0,0,1,1,1,0,0,0
465,Stephen Martines,0,0,1,1,1,0,0,0
466,John Ashton,0,0,1,1,1,0,0,0
467,Monty Blencowe,0,0,1,1,1,0,0,0
468,John DeLuca,0,0,1,1,1,0,0,0
469,BJ Tanner,0,0,1,1,1,0,0,0
470,Ellie Darcey-Alden,0,0,1,1,1,0,0,0
471,Jermaine Rivers,0,0,1,1,1,0,0,0
472,Nicky Petito,0,0,1,1,1,0,0,0
473,Zach Galligan,0,0,1,1,1,0,0,0
474,Carleigh Bettiol,0,0,1,1,1,0,0,0
475,Carolina Ravassa,0,0,1,1,1,0,0,0
476,Brennan Mejia,0,0,1,1,1,0,0,0
477,Chris Massey,0,0,1,1,1,0,0,0
478,Carlos GirÃ³n Longoria,0,0,1,1,1,0,0,0
479,Kerry Ingram,0,0,1,1,1,0,0,0
480,DeVore Ledridge,0,0,1,1,1,0,0,0
481,Sunny Mabrey,0,0,1,1,1,0,0,0
482,Ayla Kell,0,0,1,1,1,0,0,0
483,Kato Kaelin,0,1,1,1,1,0,0,0
484,Hannah Forcier,0,0,1,1,1,0,0,0
485,Jonathan Sadowski,0,0,1,1,1,0,0,0
486,Andrew Bryniarski,0,0,1,1,1,0,0,0
487,Claudia Wells,0,0,1,1,1,0,0,0
488,Bonnie Somerville,0,0,1,1,1,0,0,0
489,Drew Fuller,0,0,1,1,1,0,0,0
490,Brandon Novak,0,0,1,1,1,0,0,0
491,Magga Braco,0,0,1,1,1,0,0,0
492,Andrea Bowen,0,0,1,1,1,0,0,0
493,Utkarsh Ambudkar,0,0,1,1,1,0,0,0
494,Morgan Marcell,0,0,1,1,1,0,0,0
495,Ross Mullan,0,0,1,1,1,0,0,0
496,TENNESSEE,0,0,1,1,1,0,0,0
497,Andrew Key,0,0,1,1,1,0,0,0
498,Christina Bianco,0,0,1,1,1,0,0,0
499,Eugene Simon,0,0,1,1,1,0,0,0
500,Caden Conrique,0,0,1,1,1,0,0,0
501,Esther Ku,0,0,1,1,1,0,0,0
502,Rachel True,0,0,1,1,1,0,0,0
503,Simon Kassianides,0,0,1,1,1,0,0,0
504,Antje Utgaard,0,0,1,1,1,0,0,0
505,Ron Jeremy,0,1,1,1,1,0,1,0
506,Jessica Harmon,0,0,1,1,1,0,0,0
507,Kellen Goff,0,0,1,1,1,0,0,0
508,Durand Bernarr,0,0,1,1,1,0,0,0
509,Peter Bundic,0,0,1,1,1,0,0,0
510,Anna Hopkins,0,0,1,1,1,0,0,0
511,Patrick David,0,0,1,1,1,0,0,0
512,Mckayla Twiggs,0,0,1,1,1,0,0,0
513,Abi Brittle,0,0,1,1,1,0,0,0
514,Meg Dick,0,0,1,1,1,0,0,0
515,Samuel C. Hunt,0,0,1,1,1,0,0,0
516,Alex Carrillo,0,0,1,1,1,0,0,0
517,Georgie Leahy,0,0,1,1,1,0,0,0
518,Laura Bell Bundy,0,0,1,1,1,0,0,0
519,Rick Cosnett,0,0,1,1,1,0,0,0
